[Name],,,
inlet,,,
,,,
[Data],,,
x,y,z,velocity
0,0.2796956,0.95047593,10
0,0.23301174,0.97027874,10
0,0.18759108,0.99008131,10
0,0.97574818,0.69596392,10
0,0.92769504,0.71543986,10
0,0.87992799,0.73496056,10
0,0.83188891,0.75454962,10
0,0.78309095,0.77414095,10
0,0.73332411,0.7936486,10
0,0.68261331,0.81304699,10
0,0.63112664,0.83237767,10
0,0.57920969,0.85174012,10
0,0.52741575,0.87125278,10
0,0.47630489,0.89095753,10
0,0.42620659,0.91079086,10
0,0.37723693,0.93066168,10
0,0.32936803,0.95050418,10
0,0.28249136,0.97029233,10
0,0.23645154,0.99008518,10
0,0.9758895,0.71556687,10
0,0.92793566,0.73507053,10
0,0.87990558,0.75463283,10
0,0.83128113,0.77420878,10
0,0.78180099,0.7937218,10
0,0.73143375,0.81314075,10
0,0.68030256,0.83249539,10
0,0.628708,0.85187244,10
0,0.57715571,0.87138093,10
0,0.52617538,0.89106381,10
0,0.47609693,0.91086793,10
0,0.4270536,0.93071127,10
0,0.37904042,0.95053238,10
0,0.33197096,0.97030598,10
0,0.28570923,0.99008912,10
0,0.97596973,0.73518056,10
0,0.92792225,0.75471598,10
0,0.87947136,0.77427649,10
0,0.8302778,0.79379499,10
0,0.78025413,0.81323445,10
0,0.72947842,0.83261323,10
0,0.67820632,0.85200489,10
0,0.62689561,0.87150896,10
0,0.57604587,0.89117008,10
0,0.52598721,0.91094506,10
0,0.47687024,0.93076086,10
0,0.42871282,0.95056057,10
0,0.38145053,0.97031957,10
0,0.3349669,0.99009311,10
0,0.97596526,0.75479925,10
0,0.92766166,0.77434438,10
0,0.87875456,0.79386818,10
0,0.82907462,0.81332821,10
0,0.77865428,0.83273101,10
0,0.72770464,0.85213727,10
0,0.67663556,0.87163705,10
0,0.62591636,0.89127636,10
0,0.57587755,0.91102213,10
0,0.52668691,0.93081033,10
0,0.47838521,0.95058876,10
0,0.43093014,0.97033316,10
0,0.38422462,0.99009705,10
0,0.97587836,0.77441221,10
0,0.92723143,0.79394144,10
0,0.87789512,0.81342196,10
0,0.8278302,0.83284879,10
0,0.77720302,0.85226959,10
0,0.72637552,0.87176508,10
0,0.67578685,0.89138263,10
0,0.62576783,0.9110992,10
0,0.57650357,0.93085992,10
0,0.52805758,0.95061696,10
0,0.48040974,0.97034681,10
0,0.43348232,0.99010098,10
0,0.97573489,0.79401475,10
0,0.92671561,0.81351572,10
0,0.87700611,0.83296657,10
0,0.82670134,0.85240209,10
0,0.77611548,0.87189317,10
0,0.72565734,0.89148891,10
0,0.67565811,0.91117626,10
0,0.62632024,0.9309094,10
0,0.57773,0.95064515,10
0,0.52988935,0.9703604,10
0,0.48273998,0.99010497,10
0,0.97556287,0.81360948,10
0,0.92618197,0.83308434,10
0,0.87619966,0.85253447,10
0,0.82585537,0.87202126,10
0,0.77552783,0.89159524,10
0,0.72554839,0.91125333,10
0,0.67613691,0.93095899,10
0,0.62740242,0.95067334,10
0,0.57936895,0.97037399,10
0,0.53199768,0.99010891,10
0,0.97538495,0.83320224,10
0,0.92569804,0.8526668,10
0,0.87559533,0.87214935,10
0,0.82539833,0.89170146,10
0,0.77543879,0.91133046,10
0,0.72595358,0.93100858,10
0,0.67707479,0.95070159,10
0,0.62884855,0.9703877,10
0,0.58125538,0.99011284,10
0,0.9752236,0.8527993,10
0,0.92533529,0.8722775,10
0,0.87526882,0.89180779,10
0,0.82532901,0.91140753,10
0,0.77577019,0.93105811,10
0,0.72674716,0.95072979,10
0,0.67832816,0.97040129,10
0,0.63051307,0.99011678,10
0,0.97510266,0.87240559,10
0,0.92513931,0.89191407,10
0,0.87521935,0.91148454,10
0,0.82558686,0.93110764,10
0,0.77641952,0.95075798,10
0,0.72780776,0.97041488,10
0,0.67977077,0.99012071,10
0,0.97503728,0.8920204,10
0,0.92510962,0.91156167,10
0,0.87540352,0.93115723,10
0,0.82609189,0.95078617,10
0,0.7772873,0.97042853,10
0,0.72902852,0.99012464,10
0,0.97502738,0.9116388,10
0,0.92522019,0.93120682,10
0,0.87576437,0.95081443,10
0,0.82676691,0.97044218,10
0,0.77828616,0.99012864,10
0,0.97506428,0.93125635,10
0,0.92543668,0.95084256,10
0,0.87624651,0.97045571,10
0,0.82754385,0.99013257,10
0,0.97513646,0.95087081,10
0,0.92572618,0.97046936,10
0,0.87680149,0.9901365,10
0,0.97523296,0.97048295,10
0,0.92605925,0.99014044,10
0,0.97534406,0.99014443,10
0,0.006749595,0.53752226,10
0,0.013052384,0.51843047,10
0,0.011872735,0.53752798,10
0,0.018412635,0.49912912,10
0,0.018175656,0.51843572,10
0,0.017252034,0.53753394,10
0,0.021616291,0.47940439,10
0,0.023536766,0.49913204,10
0,0.023555091,0.51844114,10
0,0.022900295,0.5375402,10
0,0.021469396,0.45940843,10
0,0.026741045,0.47940466,10
0,0.028917104,0.49913514,10
0,0.029203501,0.51844686,10
0,0.028830968,0.53754681,10
0,0.017972451,0.43964064,10
0,0.026594279,0.45940766,10
0,0.032122038,0.47940499,10
0,0.034566455,0.49913836,10
0,0.035134327,0.51845282,10
0,0.035058178,0.53755379,10
0,0.012346542,0.42040861,10
0,0.023097269,0.43964005,10
0,0.031975407,0.45940688,10
0,0.037772082,0.47940531,10
0,0.040498275,0.49914175,10
0,0.041361693,0.51845914,10
0,0.041596744,0.53756106,10
0,0.005862542,0.40141618,10
0,0.017470606,0.42040589,10
0,0.028478326,0.43963939,10
0,0.037625596,0.45940605,10
0,0.043704621,0.47940561,10
0,0.046726685,0.49914533,10
0,0.047900427,0.51846582,10
0,0.048462238,0.53756869,10
0,-0.000372098,0.38225538,10
