x,y,z,y-coordinate,x_velocity,y_velocity,z_velocity
337.13849,-4420.4063,-3493,-4421.0562,,0,0
337.13849,-4397.4233,-3493,-4397.6768,,0,0
337.13846,-4374.168,-3493,-4374.2822,,0,0
337.13849,-4350.9292,-3493,-4351.0215,,0,0
337.13849,-4864.8354,-3492,-4865.8008,,0,0
337.13849,-4863.8125,-3492,-4864.7764,,0,0
337.13849,-4862.7378,-3492,-4863.7012,,0,0
337.13849,-4861.6099,-3492,-4862.5723,,0,0
337.13849,-4860.4253,-3492,-4861.3862,,0,0
337.13849,-4859.1816,-3492,-4860.1411,,0,0
337.13849,-4857.8755,-3492,-4858.834,,0,0
337.13849,-4856.5044,-3492,-4857.4619,,0,0
337.13849,-4855.0645,-3492,-4856.0205,,0,0
337.13849,-4853.5527,-3492,-4854.5073,,0,0
337.13849,-4851.9653,-3492,-4852.9185,,0,0
337.13849,-4850.2988,-3492,-4851.2505,,0,0
337.13849,-4848.5488,-3492,-4849.4985,,0,0
337.13849,-4846.7109,-3492,-4847.6592,,0,0
337.13849,-4844.7822,-3492,-4845.728,,0,0
337.13849,-4842.7559,-3492,-4843.7002,,0,0
337.13849,-4840.6289,-3492,-4841.5708,,0,0
337.13849,-4838.395,-3492,-4839.3354,,0,0
337.13849,-4836.0498,-3492,-4836.9878,,0,0
337.13849,-4833.5879,-3492,-4834.5229,,0,0
337.13849,-4831.002,-3492,-4831.9351,,0,0
337.13849,-4828.2866,-3492,-4829.2173,,0,0
337.13849,-4825.4365,-3492,-4826.3643,,0,0
337.13849,-4822.4434,-3492,-4823.3682,,0,0
337.13849,-4819.3003,-3492,-4820.2222,,0,0
337.13849,-4816.0005,-3492,-4816.9189,,0,0
337.13849,-4812.5356,-3492,-4813.4507,,0,0
337.13849,-4808.8975,-3492,-4809.8096,,0,0
337.13849,-4805.0771,-3492,-4805.9858,,0,0
337.13849,-4801.0664,-3492,-4801.9707,,0,0
337.13849,-4796.8545,-3492,-4797.7549,,0,0
337.13849,-4792.4326,-3492,-4793.3286,,0,0
337.13849,-4787.7896,-3492,-4788.6812,,0,0
337.13849,-4782.9141,-3492,-4783.8008,,0,0
337.13849,-4777.7949,-3492,-4778.6768,,0,0
337.13849,-4772.4199,-3492,-4773.2969,,0,0
337.13849,-4766.7764,-3492,-4767.6475,,0,0
337.13849,-4760.8506,-3492,-4761.7158,,0,0
337.13849,-4754.6284,-3492,-4755.4873,,0,0
337.13849,-4748.0952,-3492,-4748.9482,,0,0
337.13849,-4741.2354,-3492,-4742.0815,,0,0
337.13849,-4734.0332,-3492,-4734.8716,,0,0
337.13849,-4726.4702,-3492,-4727.3018,,0,0
337.13849,-4718.5293,-3492,-4719.353,,0,0
337.13849,-4710.1919,-3492,-4711.0068,,0,0
337.13849,-4327.7129,-3492,-4327.7983,,0,0
337.13849,-4304.522,-3492,-4304.5986,,0,0
337.13849,-4281.3545,-3492,-4281.4165,,0,0
337.13849,-4258.2109,-3492,-4258.251,,0,0
337.13849,-4235.0889,-3492,-4235.1001,,0,0
337.13849,-4211.9897,-3492,-4211.9619,,0,0
337.13849,-4188.9111,-3492,-4188.835,,0,0
337.13849,-4165.8545,-3492,-4165.7158,,0,0
337.13849,-4142.8184,-3492,-4142.6016,,0,0
337.13849,-4119.8032,-3492,-4119.4868,,0,0
337.13849,-4096.8086,-3492,-4096.3643,,0,0
337.13849,-4073.8352,-3492,-4073.2202,,0,0
337.13849,-4050.8831,-3492,-4050.0313,,0,0
337.13849,-4027.9524,-3492,-4026.748,,0,0
337.13849,-4005.0427,-3492,-4003.2539,,0,0
337.13849,-3982.1531,-3492,-3979.2029,,0,0
337.13849,-3956.5615,-3492,-3953.3455,,0,0
337.13849,-3927.249,-3492,-3924.3579,,0,0
337.13849,-3894.4326,-3492,-3891.8005,,0,0
337.13849,-3856.7285,-3492,-3854.9907,,0,0
337.13849,-3814.3171,-3492,-3813.9524,,0,0
337.13849,-3769.5933,-3492,-3770.1953,,0,0
337.13849,-3724.8691,-3492,-3725.6091,,0,0
337.13849,-3680.145,-3492,-3680.8762,,0,0
337.13849,-3635.4209,-3492,-3636.1431,,0,0
337.13849,-3590.6968,-3492,-3591.4102,,0,0
337.13849,-3545.9727,-3492,-3546.6772,,0,0
337.13849,-3501.2485,-3492,-3501.9443,,0,0
337.13849,-3456.5244,-3492,-3457.2112,,0,0
337.13849,-3411.8,-3492,-3412.4783,,0,0
337.13849,-3367.0762,-3492,-3367.7454,,0,0
337.13849,-3322.3521,-3492,-3323.0122,,0,0
337.13849,-3277.6279,-3492,-3278.2793,,0,0
337.13849,-3232.9036,-3492,-3233.5461,,0,0
337.13849,-3188.1797,-3492,-3188.8132,,0,0
337.13849,-3143.4556,-3492,-3144.0803,,0,0
337.13849,-3098.7314,-3492,-3099.3472,,0,0
337.13849,-3054.0071,-3492,-3054.6143,,0,0
337.13849,-3009.283,-3492,-3009.8813,,0,0
337.13849,-2964.5588,-3492,-2965.1482,,0,0
337.13849,-2919.835,-3492,-2920.4153,,0,0
337.13849,-2875.1106,-3492,-2875.6824,,0,0
337.13849,-2830.3865,-3492,-2830.9492,,0,0
337.13849,-2785.6621,-3492,-2786.2163,,0,0
337.13849,-2740.938,-3492,-2741.4834,,0,0
337.13849,-2696.2139,-3492,-2696.7502,,0,0
337.13849,-2651.49,-3492,-2652.0173,,0,0
337.13849,-2606.7656,-3492,-2607.2842,,0,0
337.13849,-2562.0417,-3492,-2562.5513,,0,0
